SECID,BOARDID,NAME,DECIMALS,SHORTNAME,ANNUALHIGH,ANNUALLOW,CURRENCYID,CALCMODE
MERETRR,RTSI,Индекс МосБиржи строительных компаний полной доходности «нетто» (по налоговым ставкам российских организаций),2,MOEX RE Net TR-RES,12225.53,4991.47,RUB,TR
MESG,RTSI,Индекс МосБиржи-RAEX ESG сбалансированный,2,Индекс МосБиржи-RAEX ESG,1107.94,794.14,RUB,PR
MESGTR,RTSI,Индекс МосБиржи-RAEX ESG сбалансированный полной доходности,2,Индекс МосБиржи-RAEX ESG TR,1397.4,971.91,RUB,TRB
MIPO,RTSI,Индекс МосБиржи IPO,2,Индекс МосБиржи IPO,1029.17,533.95,RUB,PR
MIPOTR,RTSI,Индекс МосБиржи IPO полной доходности,2,Индекс МосБиржи IPO полн. дох-ти,1076.48,583.83,RUB,TRB
MOEXALLW,RTSI,Индекс МосБиржи Всепогодный,2,Индекс МосБиржи Всепогодный,1153.55,1098.12,RUB,MX
MOEXBC,RTSI,Индекс МосБиржи голубых фишек,2,Индекс голубых фишек,22093.74,15229.49,RUB,
MOEXIT,RTSI,Индекс МосБиржи информационных технологий,2,Индекс МосБиржи IT,4231.85,2273.19,RUB,PR
MOEXRE,RTSI,Индекс МосБиржи недвижимости,2,Индекс МосБиржи недвижимости,11307.93,4507.61,RUB,PR
MRBCTR,RTSI,Индекс МосБиржи полной доходности 15,4,Индекс МосБиржи полн дох-ти 15,2605.26,1817.76,RUB,Индекс акций
MREDC,RTSI,Индекс московской недвижимости Домклик,2,Индекс недвиж-ти Домклик Москва,310362.97,291119.9,RUB,PR
MREF,RTSI,Индекс МосБиржи фондов недвижимости,2,Индекс МосБиржи ЗПИФН,1078.89,889.44,RUB,PR
MREFTR,RTSI,Индекс МосБиржи фондов недвижимости полной доходности,2,Индекс МосБиржи ЗПИФН ПД,1270.89,993.19,RUB,TRB
MRRT,RTSI,Индекс МосБиржи - РСПП Ответственность и открытость,2,Индекс MRRT,2667.27,1879.68,RUB,PR
MRSV,RTSI,Индекс МосБиржи - РСПП Вектор устойчивого развития,2,Индекс MRSV,2940.42,1836.07,RUB,PR
MRSVR,RTSI,Индекс МосБиржи - РСПП Вектор устойчивого развития российских эмитентов,2,Индекс МосБиржи-РСПП MRSV RU Co,3074.09,1889.78,RUB,PR
MRSVRT,RTSI,Индекс МосБиржи - РСПП Вектор устойчивого развития российских эмитентов полной доходности,2,Индекс МосБиржи-РСПП MRSV RU TR,4667.69,3064.8,RUB,TRB
MRSVT,RTSI,"Индекс МосБиржи - РСПП Вектор устойчивого развития, полной доходности брутто",2,Индекс МосБиржи-РСПП Вектор TR,4408.23,2933.53,RUB,TRB
MXSHAR,RTSI,Индекс МосБиржи Исламских инвестиций,2,Индекс МосБиржи Исламский,1134.06,689.3,RUB,CP
MXSHARTR,RTSI,Индекс МосБиржи Исламских инвестиций полной доходности,2,Индекс МосБиржи Исламский TR,1331.86,894.58,RUB,TR
MXTDFI2030,RTSI,Индекс МосБиржи с целевой датой 2030,2,Индекс МосБиржи ЦД-2030,1125.79,1072.54,RUB,MX
MXTDFI2035,RTSI,Индекс МосБиржи с целевой датой 2035,2,Индекс МосБиржи ЦД-2035,1177.84,1069.26,RUB,MX
MXTDFI2040,RTSI,Индекс МосБиржи с целевой датой 2040,2,Индекс МосБиржи ЦД-2040,1176.73,1066.95,RUB,MX
MXTDFI2045,RTSI,Индекс МосБиржи с целевой датой 2045,2,Индекс МосБиржи ЦД-2045,1175.62,1064.64,RUB,MX
OPNRI,RTSI,Открытие - Акции РФ (Моментум),2,Открытие - Акции РФ (Моментум),,,RUB,TRB
OPNRPI,RTSI,Открытие - Акции РФ,2,Открытие - Акции РФ,,,RUB,PR
OPNTI,RTSI,Открытие – Технологии,2,Открытие – Технологии,699.94,491.16,USD,TRB
OPNTIB,RTSI,Открытие – Технологии (брутто),2,Открытие – Технологии TR,679.27,658.72,USD,TRB
OPNTIP,RTSI,Открытие – Технологии ценовой,2,Открытие – Технологии CP,699.94,491.16,USD,PR
OPNVI,RTSI,Открытие – Тренды XXI века,2,Открытие – Тренды,223.71,177.87,USD,TRB
OPNVIB,RTSI,Открытие – Тренды XXI века (брутто),2,Открытие – Тренды TR,210.16,207.07,USD,TRB
OPNVIP,RTSI,Открытие – Тренды XXI века ценовой,2,Открытие – Тренды CP,223.71,177.87,USD,PR
RQISETFE,RTSI,Райффайзен Тактическая Стратегия Биржевых фондов,2,Райф. Тактическая Стратегия,276.79,233.75,EUR,
RQISETFU,RTSI,Райффайзен Сбалансированная Стратегия Биржевых фондов,2,Райф. Сбалансированная Стратегия,536.73,448.1,USD,
RTSCH,RTSI,Индекс РТС химии и нефтехимии,2,Индекс РТС химии и нефтехимии,419.64,267.06,USD,
RTSCR,RTSI,Индекс РТС потребительских товаров и розничной торговли,2,Индекс РТС потреб. сектора,243.32,136.57,USD,
RTSEU,RTSI,Индекс РТС электроэнергетики,2,Индекс РТС электроэнергетики,59.89,33.63,USD,
RTSFN,RTSI,Индекс РТС финансов,2,Индекс РТС финансов,252.74,134.16,USD,
RTSGBPTRN,RTSI,Индекс РТС GPB полной доходности «нетто» (по налоговым ставкам иностранных организаций),2,RTSGBPTRN,3220.97,1904.32,GBP,TR
RTSI,RTSI,Индекс РТС,2,Индекс РТС,1267.16,723.16,USD,
RTSIDIV,RTSI,Индекс дивидендов РТС «брутто»,2,Индекс дивидендов РТС,18.69,0.0,USD,DIV
RTSIDIVN,RTSI,Индекс дивидендов РТС «нетто» (по налоговым ставкам российских организаций),2,Индекс дивидендов РТС нетто-рос,16.26,0.0,USD,DIV
RTSIGBP,RTSI,Индекс РТС GPB,2,RTSIGBP,1488.08,889.59,GBP,CP
RTSIT,RTSI,Индекс РТС информационных технологий,2,Индекс РТС IT,104.65,48.6,USD,PR
RTSMM,RTSI,Индекс РТС металлов и добычи,2,Индекс РТС металлов и добычи,214.68,109.45,USD,
RTSOG,RTSI,Индекс РТС нефти и газа,2,Индекс РТС нефти и газа,211.03,123.38,USD,
RTSRE,RTSI,Индекс РТС недвижимости,2,Индекс РТС недвижимости,292.08,104.39,USD,PR
RTSSIB,RTSI,Индекс ММВБ Сибирь,4,Индекс ММВБ Сибирь,,,RUB,
RTSSM,RTSI,Индекс РТС средней и малой капитализации,4,RTS SMID Index,1167.95,607.54,USD,
RTSTL,RTSI,Индекс РТС телекоммуникаций,2,Индекс РТС телекоммуникаций,80.25,36.01,USD,
RTSTN,RTSI,Индекс РТС транспорта,2,Индекс РТС транспорта,58.49,31.04,USD,
RTSTR,RTSI,Индекс РТС полной доходности «брутто»,4,RTS Total Return,3118.8,1759.21,USD,TR
RTSTRN,RTSI,Индекс РТС полной доходности «нетто» (по налоговым ставкам иностранных организаций),4,RTS Net-TR-NR,2722.98,1541.26,USD,TRN
RTSTRR,RTSI,Индекс РТС полной доходности «нетто» (по налоговым ставкам российских организаций),4,RTS Net-TR-Res,2800.56,1584.43,USD,TRR
RTSUSDCUR,RTSI,Курс доллара США на момент закрытия Индекса РТС,4,RTSUSDCUR,109.5782,81.5018,RUB,
RTSVX,RTSI,Индекс волатильности RTSVX,4,Индекс RTSVX,,,,
RUABICP,RTSI,Композитный индекс облигаций,4,ABI CP,89.62,76.75,RUB,CP
RUABITR,RTSI,Композитный индекс облигаций — совокупный доход,4,ABI TR,245.76,205.83,RUB,TR
RUBMI,RTSI,Индекс РТС широкого рынка,2,Индекс РТС широкого рынка,932.0,533.46,USD,
RUCBCP2A3A,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCP2A3A,2,RUCBCP2A3A,87.9,78.06,RUB,CP
RUCBCP2A3A3Y,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCP2A3A3Y,2,RUCBCP2A3A3Y,90.42,80.88,RUB,CP
RUCBCP2A3A5Y,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCP2A3A5Y,2,RUCBCP2A3A5Y,79.83,65.11,RUB,CP
RUCBCP2B3B,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCP2B3B,2,RUCBCP2B3B,78.95,68.15,RUB,CP
RUCBCP3A3YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCP3A3YNS,2,RUCBCP3A3YNS,95.42,88.13,RUB,CP
RUCBCP3A5YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCP3A5YNS,2,RUCBCP3A5YNS,89.42,73.65,RUB,CP
RUCBCP3YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCP3YNS,2,RUCBCP3YNS,94.23,83.6,RUB,CP
RUCBCP5YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCP5YNS,2,RUCBCP5YNS,88.55,72.14,RUB,CP
RUCBCPA2A,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPA2A,2,RUCBCPA2A,88.86,74.81,RUB,CP
RUCBCPA2A3Y,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPA2A3Y,2,RCBCPA2A3Y,90.79,77.0,RUB,CP
RUCBCPA2A5Y,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRA2A5Y,2,RUCBTRA2A5Y,80.76,59.09,RUB,TR
RUCBCPA3YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPA3YNS,2,RUCBCPA3YNS,91.64,74.93,RUB,CP
RUCBCPA5YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPA5YNS,2,RUCBCPA5YNS,102.12,94.43,RUB,CP
RUCBCPAA3YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPAA3YNS,2,RUCBCPAA3YNS,91.29,78.15,RUB,CP
RUCBCPAA5YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPAA5YNS,2,RUCBCPAA5YNS,89.2,65.38,RUB,CP
RUCBCPAAANS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPAAANS,2,RUCBCPAAANS,94.75,87.02,RUB,CP
RUCBCPAANS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPAANS,2,RUCBCPAANS,93.26,79.16,RUB,CP
RUCBCPANS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPANS,2,RUCBCPANS,94.18,76.91,RUB,CP
RUCBCPB2B,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPB2B,2,RUCBCPB2B,83.4,57.58,RUB,CP
RUCBCPB2B3B,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPB2B3B,2,RUCBCPB2B3B,79.27,67.19,RUB,CP
RUCBCPBBBNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPBBBNS,2,RUCBCPBBBNS,92.85,79.52,RUB,CP
RUCBCPNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBCPNS,2,RUCBCPNS,94.71,83.47,RUB,CP
RUCBHYCP,RTSI,Индекс МосБиржи Высокодоходных Облигаций Повышенного Инвестиционного Риска Ценовой,2,Индекс МосБиржи ВДО ПИР CP,86.48,70.86,RUB,CP
RUCBHYTR,RTSI,Индекс МосБиржи Высокодоходных Облигаций Повышенного Инвестиционного Риска Совокупный Доход,2,Индекс МосБиржи ВДО ПИР TR,151.9,130.07,RUB,TR
RUCBICP1Y,RTSI,"Индекс корпоративных облигаций (≤ 1 года, рейтинг ≥ B-)",4,CBI CP 1Y,98.5,92.19,RUB,CP
RUCBICP3+,RTSI,"Индекс корпоративных облигаций (< 1 года, рейтинг > B-)",4,CBI CP 3+,116.42,107.95,RUB,CP
RUCBICPB,RTSI,"Индекс корпоративных облигаций (> 1 года, B- ≤ рейтинг < BB-)",4,CBI CP B,74.07,68.69,RUB,CP
RUCBICPB3Y,RTSI,"Индекс корпоративных облигаций (1-3 года, B- ≤ рейтинг < BB-)",4,CBI CP B 3Y,76.38,70.82,RUB,CP
RUCBICPBB,RTSI,"Индекс корпоративных облигаций (> 1 года, BB- ≤ рейтинг < BBB-)",4,CBI CP BB,90.54,84.97,RUB,CP
RUCBICPBB3+,RTSI,"Индекс корпоративных облигаций (> 3 лет, BB- ≤ рейтинг < BBB-)",4,CBI CP BB 3+,112.0,102.01,RUB,CP
RUCBICPBB3Y,RTSI,"Индекс корпоративных облигаций (1-3 года, BB- ≤ рейтинг < BBB-)",4,CBI CP BBB 3Y,90.26,84.98,RUB,CP
RUCBICPBB5Y,RTSI,"Индекс корпоративных облигаций (3-5 лет, BB- ≤ рейтинг < BBB-)",4,CBI CP BB 5Y,112.14,102.13,RUB,CP
RUCBICPBBB,RTSI,"Индекс корпоративных облигаций (> 1 года, рейтинг ≥ BBB-)",4,CBI CP BBB,94.92,90.27,RUB,CP
RUCBICPBBB3+,RTSI,"Индекс корпоративных облигаций (3-5 лет, рейтинг ≥ BBB-)",4,CBI CP BBB 3+,119.35,111.23,RUB,CP
RUCBICPBBB3Y,RTSI,"Индекс корпоративных облигаций (1-3 года, рейтинг ≥ BBB-)",4,CBI CP BBB 3Y,92.57,88.28,RUB,CP
RUCBICPBBB5Y,RTSI,"Индекс корпоративных облигаций (3-5 лет, рейтинг ≥ BBB-)",4,CBI CP BBB 5Y,119.77,111.54,RUB,CP
RUCBICPL1,RTSI,Индекс корпоративных облигаций Котировальный лист 1 - ценовой,4,CBI CP L1,83.63,73.1,RUB,CP
RUCBICPL2,RTSI,Индекс корпоративных облигаций Котировальный лист 2 - ценовой,4,CBI CP L2,93.07,81.48,RUB,CP
RUCBICPL3,RTSI,Индекс корпоративных облигаций Котировальный лист 3 - ценовой,4,CBI CP L3,87.87,77.67,RUB,CP
RUCBITR1Y,RTSI,"Индекс корпоративных облигаций (≤ 1 года, рейтинг ≥ B-) — совокупный доход",4,CBI TR 1Y,360.36,305.69,RUB,TR
RUCBITR3+,RTSI,"Индекс корпоративных облигаций (> 3 лет, рейтинг ≥ B-) — совокупный доход",4,CBI TR 3+,644.33,577.1,RUB,TR
RUCBITRB,RTSI,"Индекс корпоративных облигаций (> 1 года, B- ≤ рейтинг < BB-) — совокупный доход",4,CBI TR B,536.8,467.72,RUB,TR
RUCBITRB3Y,RTSI,"Индекс корпоративных облигаций (1-3 года, B- ≤ рейтинг < BB-) — совокупный доход",4,CBI TR B 3Y,547.49,476.97,RUB,TR
RUCBITRBB,RTSI,"Индекс корпоративных облигаций (> 1 года, BB- ≤ рейтинг < BBB-) — совокупный доход",4,CBI TR BB,544.56,486.16,RUB,TR
RUCBITRBB3+,RTSI,"Индекс корпоративных облигаций (> 3 лет, BB- ≤ рейтинг < BBB-) — совокупный доход",4,CBI TR BB 3+,634.94,561.57,RUB,TR
RUCBITRBB3Y,RTSI,"Индекс корпоративных облигаций (1-3 года, BB- ≤ рейтинг < BBB-) — совокупный доход",4,CBI TR BB 3Y,540.5,483.05,RUB,TR
RUCBITRBB5Y,RTSI,"Индекс корпоративных облигаций (3-5 лет, BB- ≤ рейтинг < BBB-) — совокупный доход",4,CBI TR BB 5Y,639.37,565.45,RUB,TR
RUCBITRBBB,RTSI,"Индекс корпоративных облигаций (> 1 года, рейтинг ≥ BBB-) — совокупный доход",4,CBI TR BBB,534.09,484.24,RUB,TR
RUCBITRBBB3+,RTSI,"Индекс корпоративных облигаций (3-5 лет, рейтинг ≥ BBB-) — совокупный доход",4,CBI TR BBB 3+,643.3,576.83,RUB,TR
RUCBITRBBB3Y,RTSI,"Индекс корпоративных облигаций (1-3 года, рейтинг ≥ BBB-) — совокупный доход",4,CBI TR BBB 3Y,517.9,469.19,RUB,TR
RUCBITRBBB5Y,RTSI,"Индекс корпоративных облигаций (3-5 лет, рейтинг ≥ BBB-) — совокупный доход",4,CBI TR BBB 5Y,651.78,584.27,RUB,TR
RUCBITRL1,RTSI,Индекс корпоративных облигаций Котировальный лист 1  — совокупный доход,4,CBI TR L1,279.85,241.36,RUB,TR
RUCBITRL2,RTSI,Индекс корпоративных облигаций Котировальный лист 2  — совокупный доход,4,CBI TR L2,315.9,274.51,RUB,TR
RUCBITRL3,RTSI,Индекс корпоративных облигаций Котировальный лист 3  — совокупный доход,4,CBI TR L3,294.85,258.6,RUB,TR
RUCBKEYCP,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBKEYCP,2,RUCBKEYCP,100.12,93.37,RUB,CP
RUCBKEYTR,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBKEYTR,2,RUCBKEYTR,120.76,111.26,RUB,TR
RUCBRNCP,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBRNCP,2,RUCBRNCP,99.48,92.23,RUB,CP
RUCBRNTR,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBRNTR,2,RUCBRNTR,115.91,107.2,RUB,TR
RUCBTR2A3A,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTR2A3A,2,RUCBTR2A3A,124.82,109.18,RUB,TR
RUCBTR2A3A3Y,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTR2A3A3Y,2,RUCBTR2A3A3Y,128.91,113.22,RUB,TR
RUCBTR2A3A5Y,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTR2A3A5Y,2,RUCBTR2A3A5Y,115.94,93.26,RUB,TR
RUCBTR2B3B,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTR2B3B,2,RUCBTR2B3B,140.67,124.66,RUB,TR
RUCBTR3A3YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTR3A3YNS,2,RUCBTR3A3YNS,153.02,136.81,RUB,TR
RUCBTR3A5YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTR3A5YNS,2,RUCBTR3A5YNS,147.71,117.96,RUB,TR
RUCBTR3YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTR3YNS,2,RUCBTR3YNS,155.5,135.71,RUB,TR
RUCBTR5YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTR5YNS,2,RUCBTR5YNS,148.95,119.81,RUB,TR
RUCBTRA2A,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRA2A,2,RUCBTRA2A,128.62,108.17,RUB,TR
